"","sg","nom","Agriculture","Transformation","Emballage","Transport","Supermarché et distribution","Consommation","Total"
"88","légumes","Coeur de palmier, appertisé, égoutté",0.63932316,0.27195812,0.31245828,0.38469045,0.028777154,0,1.637207164
"89","fruits","Coing, cru",0.12490847,0,0,0.32908042,0.0067501727,0.080351049,0.5410901117
"90","fruits","Compote de pomme",0.11870141,0.1881174,0.27727707,0.21547949,0.037768033,0.0066736979,0.8440171009
"91","fruits","Compote, tout type de fruits",0.081324348,0.16341131,0.27727707,0.2224891,0.037768033,0.0066736979,0.7889435589
"92","fruits","Compote, tout type de fruits, allégée en sucres",0.10413422,0.16513787,0.27727707,0.22168113,0.017262405,0.0066736979,0.7921663929
"93","fruits","Compote, tout type de fruits, allégée en sucres, rayon frais",0.10413422,0.16513787,0.27727707,0.22168113,0.037768033,0.0066736979,0.8126720209
"94","légumes","Concombre, pulpe et peau, cru",0.18660557,0,0,0.24073503,0.013720184,0.032140419,0.473201203
"95","légumes","Concombre, pulpe, cru",0.18660557,0,0,0.24073503,0.013720184,0.032140419,0.473201203
"96","fruits","Coulis de fraise",0.42228767,1.0501064,0.49792849,0.39716836,0.013407908,0,2.380898828
"97","fruits","Coulis de framboise",1.1765551,0.47983941,0.15329999,0.39923656,0.013407908,0,2.222338968
"98","légumes","Courge doubeurre (butternut), pulpe, crue",0.2224172,0,0,0.29790004,0.018180592,0.080351049,0.618848881
"99","légumes","Courge hokkaïdo, pulpe, crue",0.2224172,0,0,0.27356253,0.018180592,0.080351049,0.594511371
"100","légumes","Courge melonnette, pulpe, crue",0.2224172,0,0,0.29790004,0.018180592,0.080351049,0.618848881
"101","légumes","Courge musquée, pulpe, crue",0.2224172,0,0,0.27356253,0.018180592,0.080351049,0.594511371
"102","légumes","Courge spaghetti, pulpe, crue",0.2224172,0,0,0.29790004,0.018180592,0.080351049,0.618848881
"103","légumes","Courge spaghetti, pulpe, cuite",0.25981177,0,0.28002043,0.36197902,0.021237259,0.19993027,1.122978749
"104","légumes","Courge, crue",0.2224172,0,0,0.29790004,0.018180592,0.080351049,0.618848881
"105","légumes","Courgette, pulpe et peau, crue",0.19572714,0,0,0.24073503,0.014917201,0.032140419,0.48351979
"106","légumes","Courgette, pulpe et peau, cuite",0.23095802,0,0.24240545,0.29649297,0.017602297,0.12807962,0.915538357
"107","légumes","Courgette, pulpe et peau, surgelée, crue",0.1770352,0.091766547,0.26232822,0.2137258,0.068654975,0.02525183,0.838762572
"108","légumes","Courgette, purée",0.23095802,0,0.2604107,0.29653096,0.017602297,0.043163044,0.848665021
"109","légumes","Cresson alénois, cru",0.30023238,0,0,0.36475005,0.061814329,0.21426946,0.941066219
"110","légumes","Cresson de fontaine, cru",0.18997233,0,0,0.36475005,0.061814329,0.21426946,0.830806169
"111","légumes","Crosne, surgelé, cru",0.072987668,0.019074263,0.26232822,0.2137258,0.068654975,0.02525183,0.662022756
"112","fruits","Datte, pulpe et peau, sèche",2.2964659,0,0.28118162,0.16236686,0.020096608,0,2.760110988
"113","fruits","Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée)",0.16277726,0.24333112,0.27727707,0.23056348,0.037768033,0.0066736979,0.9583906609
"114","légumes","Échalote, crue",0.082227266,0,0,0.24073503,0.0097605452,0.032140419,0.3648632602
"115","légumes","Échalote, cuite",0.097028173,0,0.37840388,0.29653096,0.012995209,0.13820644,0.923164662
"116","légumes","Endive, crue",0.53775347,0,0,0.27356253,0.046360746,0.080351049,0.938027795
"117","légumes","Épinard, appertisé, égoutté",0.1086359,0.18181143,0.24540283,0.30344412,0.022610621,0.011022624,0.872927525
"118","légumes","Épinard, cru",0.11750866,0,0,0.22561858,0.038235667,0.0099362451,0.3912991521
"119","légumes","Épinard, cuit",0.13726516,0,0.23106911,0.27509253,0.044664154,0.11559308,0.803684034
